artist,song,tag,content,tag_2,prompt_baseline_gemma,sentence,generated_content,id
ABBA,Dancing Queen,[Verse 1],"Friday night and the lights are low
Looking out for a place to go
Where they play the right music, getting in the swing
You come to look for a king
Anybody could be that guy
Night is young and the music's high
With a bit of rock music, everything is fine
You're in the mood for a dance
And when you get the chance",[Verse],"Write the [Verse] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","Write the [Verse] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","The music's calling, a rhythm so bold,
Shadows shifting, secrets unfold.
Dancing Queen, beneath the spotlight's glow,
Shadows melting, letting go.",10
ABBA,Dancing Queen,[Chorus],"You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen
You might also like",[Chorus],"Write the [Chorus] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","Lights shine, spotlight finds its prey,
Dancing queen, you'll dance the night away.
Shadows fade, darkness turns to light,
Tonight you'll shine, oh, so bright.",11
ABBA,Dancing Queen,[Verse 2],"You're a teaser, you turn 'em on
Leave 'em burning and then you're gone
Looking out for another, anyone will do
You're in the mood for a dance
And when you get the chance",[Verse],"Write the [Verse] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","Write the [Verse] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","The lights fade on a silent night,
Memories dance in the pale moonlight.
You'll spin and twirl, a dazzling sight,
Dancing Queen, forgetting the fading light.",12
ABBA,Dancing Queen,[Chorus],"You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen",[Chorus],"Write the [Chorus] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","The music fades, but the rhythm stays,
Dancing queen, you'll find your way.
Let the lights shine, the music spin,
Tonight you'll dance, let the tears begin.",13
ABBA,Dancing Queen,[Outro],Digging the dancing queen,[Outro],"Write the [Outro] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","Write the [Outro] of a song titled ""Dancing Queen"" in the style of ""ABBA"". Generate only 4 sentences.","The music fades, a gentle melody lingers in the air.
Chiquitita, you've danced your tears away, the sun shines anew.
The scars you carried fade in the night, a brand new day will greet you bright.
Let the rhythm guide you, dance once more, and shine your light so bright.",14
AJR,Weak,[Verse 1],"""No thank you"" is what I should've said
I should be in bed
But temptations of trouble on my tongue
Troubles yet to come",[Verse],"Write the [Verse] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Verse] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","The memory of that drunken night still hangs in the air, two broken thumbs a testament to our youthful bravado. I wrote a song in the aftermath, a desperate attempt to process the feeling of utter clumsiness. The show went on, but the audience remained elusive, leaving me with a profound sense of isolation. Despite the awkwardness, I can't help but feel a strange sense of pride in my ability to keep going, even when faced with such blatant rejection.",15
AJR,Weak,[Pre-Chorus],"One sip, bad for me
One hit, bad for me
One kiss, bad for me
But I give in so easily
And ""no thank you"" is how it should've gone
I should stay strong",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","(Soft, introspective piano melody begins)

But you whisper lies, disguised in smiles
Pretending you're fine when darkness fills your miles
So I close my eyes and listen to my heart's refrain
It whispers, ""You're weak, but you're not the same.""",16
AJR,Weak,[Chorus],"But I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
I'm weak
Ooh waaaaaaa ee ya ee ya
Ooh waaaaaaa ee ya ee ya
But I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
(Boy, oh boy I love it when I fall for that)
See AJR LiveGet tickets as low as $46You might also like",[Chorus],"Write the [Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Don't you love it? Don't you love it?
No, I ain't happy yet, but I'm way less sad.
It's stupid but it's all I have.
Don't you love it? Don't you love it?",17
AJR,Weak,[Verse 2],"No thank you
They call me after dark, I don't want no part
My habits, they hold me like a grudge
I promise I won't budge",[Verse],"Write the [Verse] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Verse] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","The memory of that night still hangs in the air, a little too much to bear. Two broken thumbs, a drunken haze, a song forgotten – a symphony of my own self-inflicted despair. The empty seats echoed the emptiness I felt, a solo act in a cavernous theater. But even in my solitude, I couldn't escape the feeling of being utterly, tragically alone.",18
AJR,Weak,[Pre-Chorus],"One sip, bad for me
One hit, bad for me
One kiss, bad for me
But I give in so easily
And ""no thank you"" is how it should've gone
I should stay strong",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","(Soft, synthy melody begins)
Something's shifting in the air, can't quite explain
You whisper comfort but your eyes hold rain
I'm catching fragments of a smile, a fleeting trace
But underneath it all, a hollow space.",19
AJR,Weak,[Chorus],"But I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
I'm weak
Ooh waaaaaaa ee ya ee ya
Ooh waaaaaaa ee ya ee ya
But I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that",[Chorus],"Write the [Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Don't you love it? Don't you love it?
No, I ain't happy yet, but I'm way less sad.
It's stupid but it's all I have.
Don't you love it? 'Cause I ain't happy yet, but I'm way less sad.",20
AJR,Weak,[Bridge],"We, we fall for that
Wake up, we fall again
We, we fall for that
Can't wait to fall again",[Bridge],"Write the [Bridge] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Bridge] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","The silence screams, a deafening choir,
My thoughts are racing, a frantic fire.
Counting sheep, but the nights grow longer,
My weary mind, a desperate singer.",21
AJR,Weak,[Pre-Chorus],"One sip, bad for me
One hit, bad for me
One kiss, bad for me
But I give in so easily
And no thank you is how it should've gone
I should stay strong",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Shadows linger, whispers in the night,
But I'm learning to dance in the pale moonlight.
Forget the tears, the fears I used to hold,
'Cause I'm breaking free, letting darkness unfold.",22
AJR,Weak,[Chorus],"But I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
I'm weak
Go!
Ooh waaaaaaa ee ya ee ya
Ooh waaaaaaa ee ya ee ya
But I'm weak, and what's wrong with that?
Boy, oh boy I love it when I fall for that
Ooh waaaaaaa ee ya ee yaaaaa
Ooh waaaaaaa ee ya ee ya
Ooh waaaaaaa ee ya ee yaaaaa
Ooh waaaaaaa ee ya ee yaaaaa",[Chorus],"Write the [Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Weak"" in the style of ""AJR"". Generate only 4 sentences.","(Chorus)
Don't you love it? Don't you love it?
No, I ain't happy yet, but I'm way less sad.
Don't you love it? Don't you love it?
No, I ain't happy yet, but I'm way less sad.",23
Alec Benjamin,The Knife in my Back,[Verse 1],"I'm slowly learning
That the things you promised me
Are burning like the embers
Of a thousand willow trees
And every single secret
Has been broadcast like TV
Now all the threads are severed
That were tying you to me",[Verse],"Write the [Verse] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Verse] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows linger in the hallway, secrets whispered in the night.
A blade whispers its threat, a silent, deadly sight.
The taste of fear lingers on my tongue, a bitter aftertaste.
My heart, a fragile vessel, waiting for its final embrace.",24
Alec Benjamin,The Knife in my Back,[Pre-Chorus],"I thought we were friends
But now we're enemies
I thought we were friends
But now we're enemies",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows linger in the corners of my soul,
Memories of a life I used to know.
But now the knife is in my back, twisting slow,
As you watch me crumble, letting go.",25
Alec Benjamin,The Knife in my Back,[Chorus],"Pull your knife out of my back
Your blood runs black
I was just surprised at how you turned on me so fast
I let you in
I held you close
My blood flows like a river 'cause I trusted you the most
And now I know it's over (Woo-ooh-ah-oooh)",[Chorus],"Write the [Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows creep in, secrets deep within,
My mind a prison, a battle to win.
Memories echo, a haunting refrain,
I'm lost in this darkness, forever stained.",26
Alec Benjamin,The Knife in my Back,[Post-Chorus],"And now I know it's over (Woo-ooh-ah-oooh)
And now I know it's over (Woo-ooh-ah-oooh)
And now I know it's over (Woo-ooh-ah-oooh)
You might also like",[Post-Chorus],"Write the [Post-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Post-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows stretch, a haunting embrace,
Memories echo in this empty space.
The knife in my back, a silent plea,
To release me from the burdens I can't flee.",27
Alec Benjamin,The Knife in my Back,[Verse 2],"I was so naive
I even let you in my home
Took you out for dinner and let you wear my clothes
I can't even breathe
I have your scent still in my nose
It's like I almost miss you
I should have known",[Verse],"Write the [Verse] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Verse] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows linger in the hallway, secrets whispered in the night.
The knife in my back, a silent blade, cutting through the fading light.
My heart, a shattered mirror, reflecting a fractured soul.
But I'll keep on walking, facing the darkness, making my story whole.",28
Alec Benjamin,The Knife in my Back,[Pre-Chorus],"I thought we were friends
But now we're enemies
I thought we were friends
But now we're enemies",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows linger in this fading light,
Memories echo in the fading night.
The knife you plunged is twisting deep,
Leaving scars I'll keep in silent sleep.",29
Alec Benjamin,The Knife in my Back,[Chorus],"Pull your knife out of my back
Your blood runs black
I was just surprised at how you turned on me so fast
I let you in
I held you close
My blood flows like a river 'cause I trusted you the most
And now I know it's over (Woo-ooh-ah-oooh)",[Chorus],"Write the [Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows creep, whispers in the night,
A blade in my back, a silent fight.
Memories unravel, a twisted embrace,
In the darkness, secrets I must chase.",30
Alec Benjamin,The Knife in my Back,[Bridge],"And now I know it's over (Woo-ooh-ah-oooh)
And now I know it's over (Woo-ooh-ah-oooh)
And now I know it's over (Woo-ooh-ah-oooh)",[Bridge],"Write the [Bridge] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Bridge] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Blood stains on the table, a silent plea.
The phone, once a friend, now silent and cold.
A life built on lies, now crumbling in gold.
The echo of whispers, a story yet untold.",31
Alec Benjamin,The Knife in my Back,[Pre-Chorus],"I thought we were friends
But now we're enemies
I thought we were friends
But now we're enemies",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows creep in, whispers grow low,
Memories unravel, secrets they know.
The knife in my back, a silent plea,
To understand the shadows I can't flee.",32
Alec Benjamin,The Knife in my Back,[Chorus],"Pull your knife out of my back
Your blood runs black
I was just surprised at how you turned on me so fast
I let you in
I held you close
My blood flows like a river 'cause I trusted you the most
And now I know it's over (Woo-ooh-ah-oooh)",[Chorus],"Write the [Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows clinging to my soul,
Secrets whispered, taking their toll.
The knife in my back, a silent plea,
Release me from this haunting melody.",33
Alec Benjamin,The Knife in my Back,[Outro],"And now I know it's over (Woo-ooh-ah-oooh)
And now I know it's over (Woo-ooh-ah-oooh)
And now I know it's over (Woo-ooh-ah-oooh)",[Outro],"Write the [Outro] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Write the [Outro] of a song titled ""The Knife in my Back"" in the style of ""Alec Benjamin"". Generate only 4 sentences.","Shadows linger, thoughts like blades that trace,
Memories of whispers in an empty space.
The knife in my back, a constant refrain,
But dawn will break, and I'll walk through the rain.",34
Alessia Cara,Growing Pains,[Intro],"You're on your own, kid
You are",[Intro],"Write the [Intro] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Intro] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","(Intro)
Tears like a river, washing over me,
Memories like bridges, holding onto me.
In the depths of sorrow, I find my might,
Emerging renewed, bathed in cleansing light.",35
Alessia Cara,Growing Pains,[Verse 1],"Make my way through the motions, I try to ignore it
But home's looking farther the closer I get
Don't know why I can't see the end
Is it over yet? Hmm
A short leash and a short fuse don't match
They tell me it ain't that bad, ""Now, don't you overreact""
So I just hold my breath
Don't know why I can't see the sun when young should be fun (Fun)",[Verse],"Write the [Verse] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Verse] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","The scent of your memory lingers in the wind,
Echoing whispers of love we shared within.
I yearn for your touch, but know it's gone,
In the healing tide, a new dawn has begun.",36
Alessia Cara,Growing Pains,[Pre-Chorus],"And I guess the bad can get better
Gotta be wrong before it's right
Every happy phrase engraved in my mind
And I've always been a go-getter
There's truth in every word I write
But still, the growing pains, growing pains
They're keeping me up at night",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","(Ho-ahh) Lost in the tide, (Ahh) I can't keep my pillows dry
(Ahh) Like there's a sea in my eyes, (Ahh) I realize that sometimes
Love brings you flowers, then it builds you coffins
And far too often, we end up falling to our demise",37
Alessia Cara,Growing Pains,[Chorus],"Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
And I can't hide 'cause growing pains are keeping me up at night
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
And I can't hide 'cause growing pains are keeping me up at night
You might also like",[Chorus],"Write the [Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","The tears keep falling, washing over me,
In the river of my grief, where memories flee.
I'll rise above the waves, stronger than before,
The river of tears has washed me clean to the core.",38
Alessia Cara,Growing Pains,[Verse 2],"Try to mend what's left of my content incomprehension
As I take on the stress of the mess that I've made
Don't know if I even care for ""grown"" if it's just alone, yeah",[Verse],"Write the [Verse] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Verse] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","The scent of your memory lingers in the wind,
Echoes of love we shared, a haunting blend.
I yearn for your touch, a bittersweet embrace,
But healing demands a journey, leaving no trace.",39
Alessia Cara,Growing Pains,[Pre-Chorus],"And I guess the bad can get better
Gotta be wrong before it's right
Every happy phrase engraved in my mind
I've always been a go-getter
There's truth in every word I write
But still, the growing pains, growing pains
They're keeping me up at night",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","The river keeps rising, tears like a tide,
Memories echo in this suffocating ride.
I taste your lies in every salty spray,
But in this storm, I'll learn to float away.",40
Alessia Cara,Growing Pains,[Chorus],"Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
And I can't hide 'cause growing pains are keeping me up at night
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
And I can't hide 'cause growing pains are keeping me up at night",[Chorus],"Write the [Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","(Chorus)
In the river of tears, lost beneath the stream,
I've found the strength to say, the pain will soon redeem.
The river washes clean, all the memories I keep,
I'll rise above the waves, stronger than I've ever slept.",41
Alessia Cara,Growing Pains,[Outro],"Starting to look like Ms. Know-It-All can't take her own advice
Can't find pieces of my peace of mind
I cry more than I want to admit
But I can't lie to myself, to anyone
'Cause phoning it in isn't any fun
Can't run back to my youth the way I want to
The days my brother was quicker to fool
AM radio, not much to do
Used monsters as an excuse to lie awake
Now the monsters are the ones that I have to face
No Band-Aids for the growing pains (Hey, hey, hey, hey)
Oh yeah, yeah, yeah (Hey, hey, hey, hey)
(Hey, hey, hey, hey, hey)
No, no, no Band-Aids for the growing pains",[Outro],"Write the [Outro] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","Write the [Outro] of a song titled ""Growing Pains"" in the style of ""Alessia Cara"". Generate only 4 sentences.","The tears flow like a healing tide, washing clean the wounds you left behind.
I rise from the river, stronger than before, a brand new soul you'll never find.
Your whispers fade in the wind, your promises now just a bitter wine.
In the river of tears, I learned to love myself, truly divine.",42
Anne-Marie,Bad Girlfriend,[Intro],"I'm a bad girlfriend
I'm a bad girlfriend
(Huh)",[Intro],"Write the [Intro] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","Write the [Intro] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","The lipstick on your collar whispers secrets untold,
A lie you try to mask with a casual fold.
We used to be honest, but where did that go?
Now I'm left with a feeling of deep below.",43
Anne-Marie,Bad Girlfriend,[Verse 1],"You cancel plans for me, I cancel ours on you
Say I'd be back early, I don't get in 'til 2
You ask me where I've been, I tell you something vague
Think I messed up again, what can I say?",[Verse],"Write the [Verse] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","Write the [Verse] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","Shadows linger, secrets unspoken,
When did we lose the words we choked?
Empty promises, whispers broken,
In this mess we're drowning, hearts eroded.",44
Anne-Marie,Bad Girlfriend,[Pre-Chorus 1],"Your mum said that she hates me, thinks I'm fucking lazy
Your friends keep on telling you to leave me 'cause I'm crazy
I do some shit you can't forgive
But you better get used to it",[Pre-Chorus],"Write the [Pre-Chorus] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","Write the [Pre-Chorus] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","Something's changed in your eyes, a distant stare
Suddenly your touch feels like poison in the air
Never thought I'd say this, but I can't take it anymore
Maybe it's time to walk away and close that door.",45
Anne-Marie,Bad Girlfriend,[Chorus],"I'm a bad girlfriend, I'm a bad girlfriend
You tell me your birthday, I forgot again
I'm a bad girlfriend, I'm a bad girlfriend
I can see you calling, I'm not answering
I'm laughing but I don't think that you're funny
I'm staying 'cause you give me all your money
I'm a bad girlfriend
I'm a bad girlfriend (friend)
Huh, yeah
See Anne-Marie LiveGet tickets as low as $56You might also like",[Chorus],"Write the [Chorus] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","Write the [Chorus] of a song titled ""Bad Girlfriend"" in the style of ""Anne-Marie"". Generate only 4 sentences.","(Chorus)
Too many secrets, whispers in the night
Empty promises, shadows in your light
Remember that spark, the one we used to share?
Now it's just a mess, a burden to repair.",46
