index_x,artist,song,tag,Lyric,tag_2,True_end_lyrics,index_y,Generated Lyrics,Original Lyrics,Generated_eval,Original_eval,Generated_punct,Original_punct,Generated_coherence,Generated_musicality,Generated_quality,Original_coherence,Original_musicality,Original_quality,Generated_mean,Original_mean
144,Britney Spears,Work Bitch,[Chorus],You want a hot body? You want a Bugatti? You want a Maserati? You better work bitch You want a Lamborghini? Sip martinis? Look hot in a bikini? You better work bitch You wanna live fancy? Live in a big,[Chorus],mansion? Party in France? You better work bitch You better work bitch You better work bitch You better work bitch,122,"You want a hot body? You want a Bugatti? You want a Maserati? You better work bitch You want a Lamborghini? Sip martinis? Look hot in a bikini? You better work bitch You wanna live fancy? Live in a big room, have a wife? You want a Kia machine? Get over it. Come on, look sexy in a bikini! Fucking train!...",You want a hot body? You want a Bugatti? You want a Maserati? You better work bitch You want a Lamborghini? Sip martinis? Look hot in a bikini? You better work bitch You wanna live fancy? Live in a big mansion? Party in France? You better work bitch You better work bitch You better work bitch You better work bitch,"coherence: 6/10 (The lyrics follow a theme of desiring material possessions and appearances, but some lines seem disconnected)
musicality: 8/10 (The catchy melody and rhythm make this chorus musically pleasing)
quality: 7/10 (The use of repetition and rhyme adds to the overall quality, but the lyrical content is somewhat shallow)","coherence: 8/10 (The lyrics follow a clear theme of desiring material wealth and luxury)
musicality: 9/10 (The repetition of ""You better work bitch"" creates a catchy and memorable hook)
quality: 7/10 (The lyrics may be considered shallow or superficial by some, but they effectively convey the theme and are well-delivered within the context of a pop song)","{'coherence': (6.0, 10.0), 'musicality': (8.0, 10.0), 'quality': (7.0, 10.0)}","{'coherence': (8.0, 10.0), 'musicality': (9.0, 10.0), 'quality': (7.0, 10.0)}",6.0,8.0,7.0,8.0,9.0,7.0,7.0,8.0
208,Charlie Puth,Done for Me,[Chorus: Charlie Puth],"I lie for you, baby Die for you, baby Cry for you, baby But tell me what you've done for me",[Chorus],"For you, baby And only you, baby The things I do, baby But tell me what you've done for me",172,"I lie for you, baby Die for you, baby Cry for you, baby But tell me what you've done for me, baby
And I'm yours now
You are mine now, baby
I'm mine now, baby...","I lie for you, baby Die for you, baby Cry for you, baby But tell me what you've done for me For you, baby And only you, baby The things I do, baby But tell me what you've done for me","coherence: 8/10 (The lyrics follow a clear pattern and theme of love and commitment)
musicality: 7/10 (The repetition of the phrase ""I'm yours now, you are mine now"" adds musicality, but the overall melody and rhythm could be more engaging)
quality: 7/10 (The lyrics are simple but effective, and the theme is common in pop music)","coherence: 8/10 The lyrics follow a clear theme of love and devotion, with repetition adding emphasis.
musicality: 9/10 The melody fits well with the lyrics and the rhythm creates a catchy and appealing chorus.
quality: 7/10 While the lyrics are well-written and the melody is catchy, the overall production and originality may not be exceptional.","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (7.0, 10.0)}","{'coherence': (8.0, 10.0), 'musicality': (9.0, 10.0), 'quality': (7.0, 10.0)}",8.0,7.0,7.0,8.0,9.0,7.0,7.333333333333333,8.0
304,Dua Lipa,Levitating,[Chorus],I got you,[Chorus],"(Yeah), moonlight, you're my starlight I need you all night (All night), come on, dance with me I'm levitating (Woo)",258,"I got you guys drunk and I met you two weeks ago
""Oh, babe, I'm so sorry that I could get you hurt like this
You never...","I got you (Yeah), moonlight, you're my starlight I need you all night (All night), come on, dance with me I'm levitating (Woo)","coherence: 8/10 (The lyrics are clear and convey a narrative)
musicality: 7/10 (The melody fits the lyrics well)
quality: 6/10 (The lyrics themselves are not particularly poetic or memorable)

However, keep in mind that these ratings are subjective and can vary depending on personal preferences and the specific context of the song.","coherence: 9/10 (The lyrics follow a clear and consistent theme of expressing a desire for the person's presence and companionship)
musicality: 8/10 (The melody and rhythm of the chorus are catchy and engaging)
quality: 8/10 (The production value of the chorus is high, with clear vocals and a well-produced instrumental track)

Overall score: 25/30 (83.3%)","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (6.0, 10.0)}","{'coherence': (9.0, 10.0), 'musicality': (8.0, 10.0), 'quality': (8.0, 10.0), 'score': (25.0, 30.0)}",8.0,7.0,6.0,9.0,8.0,8.0,7.0,8.333333333333334
773,Pentatonix,That’s Christmas To Me,[Verse 1],"The fireplace is burning bright, shining all on me I see the presents underneath the good old Christmas tree And",[Verse],"I wait all night 'til Santa comes to wake me from my dreams Oh, why? Cause that's Christmas to me",619,"The fireplace is burning bright, shining all on me I see the presents underneath the good old Christmas tree And here is the purple dream


And he makes me cry like 'Baby, babe, oh God' And I know he's mine


In...","The fireplace is burning bright, shining all on me I see the presents underneath the good old Christmas tree And I wait all night 'til Santa comes to wake me from my dreams Oh, why? Cause that's Christmas to me","coherence: 9/10 (The verse describes a holiday scene and emotional connection, which is clear and consistent.)
musicality: 8/10 (The rhyme scheme and rhythm add to the flow and catchiness of the verse.)
quality: 7/10 (The verse contains common holiday themes and emotional language, but the specificity and originality could be improved.)","coherence: 10/10 - The verse follows a clear and consistent theme of the speaker's excitement for Christmas.
musicality: 8/10 - The rhyme scheme and melody create a pleasant and catchy musicality.
quality: 9/10 - The verse has a good balance of imagery, emotion, and structure, making it a high-quality verse in the context of a pop song.","{'coherence': (9.0, 10.0), 'musicality': (8.0, 10.0), 'quality': (7.0, 10.0)}","{'coherence': (10.0, 10.0), 'musicality': (8.0, 10.0), 'quality': (9.0, 10.0)}",9.0,8.0,7.0,10.0,8.0,9.0,8.0,9.0
661,Mark Ronson,Valerie,[Pre-Chorus],"'Cause since I've come on home Well, my body's been a mess And I've missed your ginger",[Pre-Chorus],hair And the way you like to dress Won't you come on over? Stop makin' a fool out of me,532,"'Cause since I've come on home Well, my body's been a mess And I've missed your gingerbread cake
And I wish it wasn't true when I hear your voice
But my brain always says that I'm beautiful
And I don't...","'Cause since I've come on home Well, my body's been a mess And I've missed your ginger hair And the way you like to dress Won't you come on over? Stop makin' a fool out of me","coherence: 8/10 - The lyrics follow a clear and understandable theme of longing and desire, with each line building upon the previous one.

musicality: 7/10 - The melody of the pre-chorus is catchy, but could benefit from a more distinctive or memorable hook.

quality: 9/10 - The use of metaphor and rhyme in the lyrics adds depth and sophistication, while still remaining accessible and relatable to a wide audience.","coherence: 9/10 (The lyrics clearly express a longing and desire)
musicality: 8/10 (The melody and rhythm fit well with the theme)
quality: 7/10 (The lyrics are simple but effective in conveying emotion)

Please keep in mind that these scores are subjective and can vary depending on personal preferences and musical context.","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (9.0, 10.0)}","{'coherence': (9.0, 10.0), 'musicality': (8.0, 10.0), 'quality': (7.0, 10.0)}",8.0,7.0,9.0,9.0,8.0,7.0,8.0,8.0
709,Michael Jackson,Black or White,[Chorus: Michael Jackson],Don't tell me you agree with me When I saw you kicking,[Chorus],dirt in my eye (Hee-hee!) But if you're thinking about my baby It don't matter if you're black or white,567,"Don't tell me you agree with me When I saw you kicking me in the face
When I saw you coming and coming to the club...",Don't tell me you agree with me When I saw you kicking dirt in my eye (Hee-hee!) But if you're thinking about my baby It don't matter if you're black or white,"coherence: 8/10 (The lyrics have a clear meaning and follow a logical sequence.)
musicality: 7/10 (The rhythm and melody of the chorus are catchy but not particularly exceptional.)
quality: 7/10 (The lyrics convey a strong emotion and the delivery can be powerful in the context of a pop song.)","coherence: 8/10 (The lyrics follow a clear theme and rhyme scheme)
musicality: 7/10 (The melody and rhythm of the chorus are catchy but not particularly complex)
quality: 6/10 (The lyrical content is simple and the melody is not particularly innovative)

Overall score: 21/30 (The chorus is decent but not exceptional in terms of coherence, musicality, and quality)","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (7.0, 10.0)}","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (6.0, 10.0), 'score': (21.0, 30.0)}",8.0,7.0,7.0,8.0,7.0,6.0,7.333333333333333,7.0
90,Bazzi,Why?,[Verse 1],"I'm still on your Netflix Girl, I know you love me Even though your parents They don't fucking trust me They probably",[Verse],"all right though I know I'm an asshole No reply to all your texts, girl, I do you mad cold",75,"I'm still on your Netflix Girl, I know you love me Even though your parents They don't fucking trust me They probably don't trust you
And I've been the victim of your seduction
For years now I'm one of your sluts' biggest stars
...","I'm still on your Netflix Girl, I know you love me Even though your parents They don't fucking trust me They probably all right though I know I'm an asshole No reply to all your texts, girl, I do you mad cold","coherence: 8/10 - The lyrics seem to convey a clear message about the speaker's relationship dynamics and their position in it.

musicality: 7/10 - The rhythm and melody of the verse are catchy and fit well with the overall pop music style.

quality: 6/10 - The use of language, such as ""sluts' biggest stars,"" might be considered offensive or crude by some, affecting the overall quality of the verse. However, it could also be seen as a deliberate artistic choice for the song's genre and intended audience.","coherence: 8/10 (The lyrics follow a clear theme of a complicated relationship and the speaker's self-awareness)
musicality: 7/10 (The melody and rhythm provide a decent backdrop for the lyrics, but not particularly noteworthy)
quality: 6/10 (The use of language is effective, but the overall production value might be average)","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (6.0, 10.0)}","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (6.0, 10.0)}",8.0,7.0,6.0,8.0,7.0,6.0,7.0,7.0
49,Anne-Marie,Bad Girlfriend,[Pre-Chorus 2],"'Cause I'm one in a million, more like in a billion I don't think it's",[Pre-Chorus],cheating if I'm kissing other women I do some shit you can't forgive And you better get used to it,40,"'Cause I'm one in a million, more like in a billion I don't think it's going to take him over 20 years, because of all the plans that I've been making, I don't know if that's gonna happen. But...","'Cause I'm one in a million, more like in a billion I don't think it's cheating if I'm kissing other women I do some shit you can't forgive And you better get used to it","coherence: 8/10 (The lyrics express a clear theme of self-worth and doubt about the future)
musicality: 7/10 (The rhythm and melody of the pre-chorus are catchy but not particularly innovative)
quality: 7/10 (The lyrics are well-written and the melody fits well with the message)

However, please keep in mind that these ratings are subjective and can vary based on personal preferences and musical context.","coherence: 8/10 - The lyrics follow a clear theme of self-assertion and infidelity.
musicality: 7/10 - The rhythm and melody of the pre-chorus are catchy, but the lyric delivery could be improved for better musicality.
quality: 6/10 - The lyrics themselves are simple and not particularly poetic or memorable. However, they serve the purpose of the song well.","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (7.0, 10.0)}","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (6.0, 10.0)}",8.0,7.0,7.0,8.0,7.0,6.0,7.333333333333333,7.0
516,Justin Bieber,Baby,[Chorus: Justin Bieber & Ludacris],"Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh I thought you'd always be mine, mine Baby, baby,",[Chorus],"baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh I thought you'd always be mine, mine (Luda!)",416,"Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh I thought you'd always be mine, mine Baby, baby, baby, oh Like baby, baby, baby, oh Like baby, baby, baby, oh
And I thought you'd always be mine, mine...","Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh I thought you'd always be mine, mine Baby, baby, baby, oh Like baby, baby, baby, no Like baby, baby, baby, oh I thought you'd always be mine, mine (Luda!)","coherence: 8/10 (The lyrics are repeated and clear, creating a sense of consistency)
musicality: 9/10 (The repetition and melody of the lyrics fit well with the music)
quality: 7/10 (The lyrics themselves may not be particularly deep or original, but they effectively serve their purpose in a pop song)","coherence: 8/10 (The repetition of ""baby"" and ""I thought you'd always be mine"" creates a clear and consistent theme throughout the chorus.)

musicality: 9/10 (The melody is catchy and the rhythm is pleasing to the ear.)

quality: 7/10 (The use of repetition is effective but the lyrics are simple and lack depth.)

Overall score: 24/30 (or 8/10)","{'coherence': (8.0, 10.0), 'musicality': (9.0, 10.0), 'quality': (7.0, 10.0)}","{'coherence': (8.0, 10.0), 'musicality': (9.0, 10.0), 'quality': (7.0, 10.0), 'score': (24.0, 30.0)}",8.0,9.0,7.0,8.0,9.0,7.0,8.0,8.0
495,Jonas Brothers,Year 3000,[Outro: Nick Jonas],"He said, ""I've been",[Outro],"to the year 3000 Not much has changed, but they lived underwater And your great-great-great-granddaughter Is doin' fine, doin' fine""",401,"He said, ""I've been watching this movie for a long time.""

Watch more...","He said, ""I've been to the year 3000 Not much has changed, but they lived underwater And your great-great-great-granddaughter Is doin' fine, doin' fine""","coherence: 10/10 - The lyric fits well with the theme of the outro and makes sense in the context of a pop song.
musicality: 8/10 - The lyric can be easily set to a melody and fit rhythmically in a pop song.
quality: 9/10 - The lyric is simple, yet effective and relatable, adding value to the overall quality of the pop song.","coherence: 8/10 (The lyrics follow a clear narrative and make sense within the context of a futuristic pop song.)
musicality: 7/10 (The lyrics fit well with the melody and rhythm of a typical upbeat pop song.)
quality: 6/10 (The lyrics themselves are simple and not particularly noteworthy or original, but they serve their purpose in a generic pop song.)

Overall score: 21/30 (Or 7/10 if you prefer to round up)","{'coherence': (10.0, 10.0), 'musicality': (8.0, 10.0), 'quality': (9.0, 10.0)}","{'coherence': (8.0, 10.0), 'musicality': (7.0, 10.0), 'quality': (6.0, 10.0), 'score': (21.0, 30.0)}",10.0,8.0,9.0,8.0,7.0,6.0,9.0,7.0
