artist,song,source_lyrics,tag,true_end_lyrics,generated_lyrics,generated_end_lyrics,bleu_score,perplexity
ABBA,Dancing Queen,"You are the dancing queen Young and sweet, only seventeen Dancing queen Feel the beat from the tambourine, oh yeah You can dance,",[Chorus],"you can jive Having the time of your life Ooh, see that girl, watch that scene Digging the dancing queen","You are the dancing queen Young and sweet, only seventeen Dancing queen Feel the beat from the tambourine, oh yeah You can dance, I can dance Yeah I love that, just take me
C'mon Young and sweet, only seventeen Dancing queen Feel the beat from the tamb"," I can dance Yeah I love that, just take me
C'mon Young and sweet, only seventeen Dancing queen Feel the beat from the tamb",9.962772584311345e-232,187.78643798828125
AJR,Weak,"""No thank you"" is",[Verse],what I should've said I should be in bed But temptations of trouble on my tongue Troubles yet to come,"""No thank you"" is a natural state of mind, and, after all this, even so you do.

And so you can be in your best mood to fall"," a natural state of mind, and, after all this, even so you do.

And so you can be in your best mood to fall",9.213759863762464e-232,33.4860954284668
AJR,Weak,"One sip, bad for me One hit, bad for me One kiss, bad for",[Pre-Chorus],"me But I give in so easily And ""no thank you"" is how it should've gone I should stay strong","One sip, bad for me One hit, bad for me One kiss, bad for me One kiss, bad for me One kiss, bad for me
Bor
Bor, blah blah blah, blah
So I pull away"," me One kiss, bad for me One kiss, bad for me
Bor
Bor, blah blah blah, blah
So I pull away",9.621044119339268e-232,27.56897735595703
AJR,Weak,"But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak Ooh waaaaaaa ee ya ee ya Ooh waaaaaaa ee ya ee ya But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that (Boy, oh",[Chorus],boy I love it when I fall for that) See AJR LiveGet tickets as low as $46You might also like,"But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak Ooh waaaaaaa ee ya ee ya Ooh waaaaaaa ee ya ee ya But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that (Boy, oh boy I love it when I fall for that) Ooh waaaaaaa ee ya ee ya (Boy, oh boy I love it when"," boy I love it when I fall for that) Ooh waaaaaaa ee ya ee ya (Boy, oh boy I love it when",1.0547774145951688e-231,51.54705810546875
AJR,Weak,No thank you They call me,[Verse],"after dark, I don't want no part My habits, they hold me like a grudge I promise I won't budge","No thank you They call me 'Da,' it's a shame he got a bad name on us
When the drugs turn into a runaway train that winds up on the wrong side"," 'Da,' it's a shame he got a bad name on us
When the drugs turn into a runaway train that winds up on the wrong side",8.688236592747187e-232,41.60120391845703
AJR,Weak,"One sip, bad for me One hit, bad for me One kiss, bad for",[Pre-Chorus],"me But I give in so easily And ""no thank you"" is how it should've gone I should stay strong","One sip, bad for me One hit, bad for me One kiss, bad for me
One sip, bad for me One kiss, bad for me
One kiss, bad for me One kiss, bad for me
One kiss"," me
One sip, bad for me One kiss, bad for me
One kiss, bad for me One kiss, bad for me
One kiss",8.252630869637644e-232,10.029864311218262
AJR,Weak,"But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak Ooh waaaaaaa ee ya ee ya Ooh waaaaaaa ee ya ee",[Chorus],"ya But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that","But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak Ooh waaaaaaa ee ya ee ya Ooh waaaaaaa ee ya ee ya Ee ya ee ya", ya Ee ya ee ya,8.729733687792411e-232,194.9954833984375
AJR,Weak,"One sip, bad for me One hit, bad for me One kiss, bad for",[Pre-Chorus],me But I give in so easily And no thank you is how it should've gone I should stay strong,"One sip, bad for me One hit, bad for me One kiss, bad for me One hit, bad for me
Just know I'm not afraid of it
This is the kind of thing I learned"," me One hit, bad for me
Just know I'm not afraid of it
This is the kind of thing I learned",1.0518351895246305e-231,35.596683502197266
AJR,Weak,"But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak Go! Ooh waaaaaaa ee ya ee ya Ooh waaaaaaa ee ya ee ya But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that Ooh waaaaaaa ee ya",[Chorus],ee yaaaaa Ooh waaaaaaa ee ya ee ya Ooh waaaaaaa ee ya ee yaaaaa Ooh waaaaaaa ee ya ee yaaaaa,"But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that I'm weak Go! Ooh waaaaaaa ee ya ee ya Ooh waaaaaaa ee ya ee ya But I'm weak, and what's wrong with that? Boy, oh boy I love it when I fall for that Ooh waaaaaaa ee ya ee ya ya Go! Ooh waaaaaaa ee ya ee ya Oh, oh boy I love it when I fall for that O"," ee ya ya Go! Ooh waaaaaaa ee ya ee ya Oh, oh boy I love it when I fall for that O",1.0181865532756278e-231,97.29265594482422
Alec Benjamin,The Knife in my Back,I'm slowly learning That the things you promised me Are burning like the embers Of a thousand willow trees And,[Verse],every single secret Has been broadcast like TV Now all the threads are severed That were tying you to me,"I'm slowly learning That the things you promised me Are burning like the embers Of a thousand willow trees And I want you, too
Is that really all you need? I want you, too
Is that really all you need?
I want you"," I want you, too
Is that really all you need? I want you, too
Is that really all you need?
I want you",1.046588965188974e-231,5.160295009613037
Alec Benjamin,The Knife in my Back,Pull your knife out of my back Your blood runs black I was just surprised at how you turned on me so fast I let you in I held you,[Chorus],close My blood flows like a river 'cause I trusted you the most And now I know it's over (Woo-ooh-ah-oooh),"Pull your knife out of my back Your blood runs black I was just surprised at how you turned on me so fast I let you in I held you back
I knew you would just be back for me
Baby I'd know if you let me in
Your lips are thin and you look at"," back
I knew you would just be back for me
Baby I'd know if you let me in
Your lips are thin and you look at",1.0049683504181483e-231,43.790077209472656
Alec Benjamin,The Knife in my Back,And now I know it's,[Post-Chorus],over (Woo-ooh-ah-oooh) And now I know it's over (Woo-ooh-ah-oooh) And now I know it's over (Woo-ooh-ah-oooh) You might also like,"And now I know it's not my time to be a dolt.""

Bharat said it was ""a time to heal."" He met Ravi Shankar a"," not my time to be a dolt.""

Bharat said it was ""a time to heal."" He met Ravi Shankar a",9.702932729116586e-232,37.0681266784668
Alec Benjamin,The Knife in my Back,I was so naive I even let you in my home Took you out for dinner and let you wear my clothes I can't,[Verse],even breathe I have your scent still in my nose It's like I almost miss you I should have known,"I was so naive I even let you in my home Took you out for dinner and let you wear my clothes I can't believe you didn't even show up
I can't believe you didn't even show up I feel like you did
I think you've told the"," believe you didn't even show up
I can't believe you didn't even show up I feel like you did
I think you've told the",8.688236592747187e-232,14.022720336914062
Alec Benjamin,The Knife in my Back,Pull your knife out of my back Your blood runs black I was just surprised at how you turned on me so fast I let you in I held you,[Chorus],close My blood flows like a river 'cause I trusted you the most And now I know it's over (Woo-ooh-ah-oooh),"Pull your knife out of my back Your blood runs black I was just surprised at how you turned on me so fast I let you in I held you close I waited until I was certain you would fall asleep
You looked into my eyes and you took my body and opened them wide I was not scared"," close I waited until I was certain you would fall asleep
You looked into my eyes and you took my body and opened them wide I was not scared",9.418382295637229e-232,45.30220413208008
Alec Benjamin,The Knife in my Back,And,[Bridge],now I know it's over (Woo-ooh-ah-oooh) And now I know it's over (Woo-ooh-ah-oooh) And now I know it's over (Woo-ooh-ah-oooh),"AndSprint's new language will also make it easier to know where other citizens are staying, although it is unclear whether that will mean its authorities will release","Sprint's new language will also make it easier to know where other citizens are staying, although it is unclear whether that will mean its authorities will release",7.979932817174901e-232,32.199310302734375
Alec Benjamin,The Knife in my Back,Pull your knife out of my back Your blood runs black I was just surprised at how you turned on me so fast I let you in I held you,[Chorus],close My blood flows like a river 'cause I trusted you the most And now I know it's over (Woo-ooh-ah-oooh),"Pull your knife out of my back Your blood runs black I was just surprised at how you turned on me so fast I let you in I held you till you died You were such a good boy to me, I would have been so happy for you.

That's all I could ever do"," till you died You were such a good boy to me, I would have been so happy for you.

That's all I could ever do",1.0003688322288243e-231,21.902786254882812
Alec Benjamin,The Knife in my Back,And,[Outro],now I know it's over (Woo-ooh-ah-oooh) And now I know it's over (Woo-ooh-ah-oooh) And now I know it's over (Woo-ooh-ah-oooh),"And: It's good to have your feelings and your ideals
We can't always be there for each other, but we're there to be loved",": It's good to have your feelings and your ideals
We can't always be there for each other, but we're there to be loved",8.991089726719026e-232,17.883819580078125
Alessia Cara,Growing Pains,"Make my way through the motions, I try to ignore it But home's looking farther the closer I get Don't know why I can't see the end Is it over yet? Hmm A short leash and a short fuse don't match They tell me it ain't that bad, ""Now, don't you overreact""",[Verse],So I just hold my breath Don't know why I can't see the sun when young should be fun (Fun),"Make my way through the motions, I try to ignore it But home's looking farther the closer I get Don't know why I can't see the end Is it over yet? Hmm A short leash and a short fuse don't match They tell me it ain't that bad, ""Now, don't you overreact""
'Cause I don't want to let the enemy know
I don't want to get caught up in the conversation, oh-oh","
'Cause I don't want to let the enemy know
I don't want to get caught up in the conversation, oh-oh",9.713416734391049e-232,9.02088737487793
Alessia Cara,Growing Pains,And I guess the bad can get better Gotta be wrong before it's right Every happy phrase engraved in my mind And I've always been a go-getter,[Pre-Chorus],"There's truth in every word I write But still, the growing pains, growing pains They're keeping me up at night","And I guess the bad can get better Gotta be wrong before it's right Every happy phrase engraved in my mind And I've always been a go-getter, I'm ready for every day of my life And I don't wanna do it without you I don't wanna do it without you I don't",", I'm ready for every day of my life And I don't wanna do it without you I don't wanna do it without you I don't",1.0198868428935033e-231,8.244538307189941
Alessia Cara,Growing Pains,"Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey, hey And I can't hide 'cause growing pains are keeping me up at night Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey, hey Hey,",[Chorus],"hey, hey, hey And I can't hide 'cause growing pains are keeping me up at night You might also like","Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey, hey And I can't hide 'cause growing pains are keeping me up at night Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey, hey, hey, hey, hey Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey"," hey, hey, hey, hey, hey, hey Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey",0.0,2.5308358669281006
Alessia Cara,Growing Pains,Try to mend what's left of my content incomprehension As I take on the,[Verse],"stress of the mess that I've made Don't know if I even care for ""grown"" if it's just alone, yeah","Try to mend what's left of my content incomprehension As I take on the burden of asking the simple question: ""What's the difference between shopping and selling?"" Before we all work on this, I want you to stop and"," burden of asking the simple question: ""What's the difference between shopping and selling?"" Before we all work on this, I want you to stop and",8.860267032538113e-232,26.542224884033203
Alessia Cara,Growing Pains,And I guess the bad can get better Gotta be wrong before it's right Every happy phrase engraved in my mind I've always been a go-getter,[Pre-Chorus],"There's truth in every word I write But still, the growing pains, growing pains They're keeping me up at night",And I guess the bad can get better Gotta be wrong before it's right Every happy phrase engraved in my mind I've always been a go-getter till I lost myself in this world It's always hard to understand when you're young That never mattered to you when you were gone I felt like you, till I lost myself in this world It's always hard to understand when you're young That never mattered to you when you were gone I felt like you,9.352284301430419e-232,31.562700271606445
Alessia Cara,Growing Pains,"Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey, hey And I can't hide 'cause growing pains are keeping me up at night Hey, hey, hey, hey Hey, hey, hey, hey Hey,",[Chorus],"hey, hey, hey Hey, hey, hey, hey And I can't hide 'cause growing pains are keeping me up at night","Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey, hey And I can't hide 'cause growing pains are keeping me up at night Hey, hey, hey, hey Hey, hey, hey, hey Hey, hey, hey And I can't hide 'cause growing pains are keeping me up at night Hey, hey, hey, hey, hey, hey,"," hey, hey And I can't hide 'cause growing pains are keeping me up at night Hey, hey, hey, hey, hey, hey,",9.279498346976181e-232,26.77703857421875
Alessia Cara,Growing Pains,"Starting to look like Ms. Know-It-All can't take her own advice Can't find pieces of my peace of mind I cry more than I want to admit But I can't lie to myself, to anyone 'Cause phoning it in isn't any fun Can't run back to my youth the way I want to The days my brother was quicker to fool AM radio, not much to do Used monsters as an excuse to lie awake Now the monsters are the ones that I have to face No Band-Aids for the growing pains (Hey, hey, hey, hey) Oh",[Outro],"yeah, yeah, yeah (Hey, hey, hey, hey) (Hey, hey, hey, hey, hey) No, no, no Band-Aids for the growing pains","Starting to look like Ms. Know-It-All can't take her own advice Can't find pieces of my peace of mind I cry more than I want to admit But I can't lie to myself, to anyone 'Cause phoning it in isn't any fun Can't run back to my youth the way I want to The days my brother was quicker to fool AM radio, not much to do Used monsters as an excuse to lie awake Now the monsters are the ones that I have to face No Band-Aids for the growing pains (Hey, hey, hey, hey) Oh, yeah, I've got to get used to it!

@JohnFowler",", yeah, I've got to get used to it!

@JohnFowler",1.0350003944289303e-231,29.15192413330078
Anne-Marie,Bad Girlfriend,"You cancel plans for me, I cancel ours on you Say I'd be back early, I don't get in 'til 2",[Verse],"You ask me where I've been, I tell you something vague Think I messed up again, what can I say?","You cancel plans for me, I cancel ours on you Say I'd be back early, I don't get in 'til 2 a.m.?
Renter: Why?
Renter: Oh, I get a feeling
Renter: Look how empty you were
"," a.m.?
Renter: Why?
Renter: Oh, I get a feeling
Renter: Look how empty you were
",9.109159947227211e-232,22.348960876464844
Anne-Marie,Bad Girlfriend,"Your mum said that she hates me, thinks I'm fucking lazy Your friends keep on telling you",[Pre-Chorus],to leave me 'cause I'm crazy I do some shit you can't forgive But you better get used to it,"Your mum said that she hates me, thinks I'm fucking lazy Your friends keep on telling you how much I love you, but you never really know how much I love you, I think you're a total waste of time Your mum said that"," how much I love you, but you never really know how much I love you, I think you're a total waste of time Your mum said that",9.708517153143004e-232,18.07250213623047
Anne-Marie,Bad Girlfriend,"I'm a bad girlfriend, I'm a bad girlfriend You tell me your birthday, I forgot again I'm a bad girlfriend, I'm a bad girlfriend I can see you calling, I'm not answering I'm laughing but I don't think that you're funny I'm staying 'cause you give me all your money I'm a",[Chorus],"bad girlfriend I'm a bad girlfriend (friend) Huh, yeah See Anne-Marie LiveGet tickets as low as $56You might also like","I'm a bad girlfriend, I'm a bad girlfriend You tell me your birthday, I forgot again I'm a bad girlfriend, I'm a bad girlfriend I can see you calling, I'm not answering I'm laughing but I don't think that you're funny I'm staying 'cause you give me all your money I'm a bad girlfriend I'm a bad girlfriend You tell me your birthday, I forgot again I'm a bad girlfriend, I'm a bad girlfriend I can see"," bad girlfriend I'm a bad girlfriend You tell me your birthday, I forgot again I'm a bad girlfriend, I'm a bad girlfriend I can see",1.0022724922785631e-231,34.9359245300293
Anne-Marie,Bad Girlfriend,"I'm a, I'm a, I'm a I'm a bad bad girl I'm a, I'm a I'm a bad bad girl, girlfriend (haha) I'm a,",[Post-Chorus],"I'm a, I'm a I'm a bad bad girl I'm a, I'm a I'm a bad bad girl, girlfriend, yeah","I'm a, I'm a, I'm a I'm a bad bad girl I'm a, I'm a I'm a bad bad girl, girlfriend (haha) I'm a, I'm a, I'm a, I'm a, I'm a bad girl,
Yeah (haha)
I'm a, I"," I'm a, I'm a, I'm a, I'm a bad girl,
Yeah (haha)
I'm a, I",1.2287022022568943e-231,7.429560661315918
Anne-Marie,Bad Girlfriend,"You make me dinner then, I order take-away You wanna meet my friends, I say another day You",[Verse],"trust me with your keys and I fuck up your car You're gonna stay with me, I break your heart","You make me dinner then, I order take-away You wanna meet my friends, I say another day You don't deserve it here, don't take me by the hand
Just hold me in your arms and hold me till the evening"," don't deserve it here, don't take me by the hand
Just hold me in your arms and hold me till the evening",9.279498346976181e-232,20.350683212280273
Anne-Marie,Bad Girlfriend,"'Cause I'm one in a million, more like in a billion I don't think it's",[Pre-Chorus],cheating if I'm kissing other women I do some shit you can't forgive And you better get used to it,"'Cause I'm one in a million, more like in a billion I don't think it's going to take him over 20 years, because of all the plans that I've been making, I don't know if that's gonna happen. But"," going to take him over 20 years, because of all the plans that I've been making, I don't know if that's gonna happen. But",9.494650726269854e-232,21.033061981201172
Anne-Marie,Bad Girlfriend,"I'm a bad girlfriend, I'm a bad girlfriend You tell me your birthday, I forgot again I'm a bad girlfriend, I'm a bad girlfriend I can see you calling, I'm not answering I'm laughing but I don't think that you're funny I'm",[Chorus],"staying 'cause you give me all your money I'm a bad girlfriend I'm a bad girlfriend (friend), huh, yeah, woo","I'm a bad girlfriend, I'm a bad girlfriend You tell me your birthday, I forgot again I'm a bad girlfriend, I'm a bad girlfriend I can see you calling, I'm not answering I'm laughing but I don't think that you're funny I'm a bad girlfriend, I'm a bad girlfriend You tell me your birthday, I forgot again I'm a bad girlfriend, I'm a bad girlfriend I"," a bad girlfriend, I'm a bad girlfriend You tell me your birthday, I forgot again I'm a bad girlfriend, I'm a bad girlfriend I",1.012071042130996e-231,23.453388214111328
Anne-Marie,Bad Girlfriend,"I'm a, I'm a, I'm a I'm a bad bad girl I'm a, I'm a I'm a bad bad girl, girlfriend (but you already knew) I'm",[Post-Chorus],"a, I'm a, I'm a I'm a bad bad girl I'm a, I'm a I'm a bad bad girl, girlfriend","I'm a, I'm a, I'm a I'm a bad bad girl I'm a, I'm a I'm a bad bad girl, girlfriend (but you already knew) I'm a, I'm a, I'm a, I'm a bad bad girl, girlfriend (but you already knew) I'm a, I'm"," a, I'm a, I'm a, I'm a bad bad girl, girlfriend (but you already knew) I'm a, I'm",1.1025620289143715e-231,18.996171951293945
Anne-Marie,Bad Girlfriend,You should be with someone who's Always gonna wake up with you Always gonna tell you the truth And not lie to you like I do You should be with someone else Someone who is,[Bridge],"not myself You know I'm not good for your health And everyone else can tell I'm a bad girlfriend, yeah",You should be with someone who's Always gonna wake up with you Always gonna tell you the truth And not lie to you like I do You should be with someone else Someone who is always gonna wake up with you Always gonna tell you the truth And not lie to you like I do You should be with someone else Someone who is always, always gonna wake up with you Always gonna tell you the truth And not lie to you like I do You should be with someone else Someone who is always,9.093413717321182e-232,66.91728973388672
Anne-Marie,Bad Girlfriend,"I'm a, I'm a, I'm a I'm a bad bad girl (haha, y'all) I'm a, I'm a I'm a bad bad girl, girlfriend (but you already knew that) I'm a, I'm a, I'm a I'm a bad bad girl (that I'm bad) I'm a, I'm a I'm a bad bad girl, girlfriend, yeah (I'm bad, bad, bad) I'm a, I'm a, I'm a I'm a bad bad girl (yeah) I'm a, I'm a I'm a bad bad girl, girlfriend (but you already knew that) I'm a, I'm a, I'm a I'm a bad bad",[Outro],"girl (I'm a bad, I'm a bad, bad, bad) I'm a, I'm a I'm a bad bad girl, girlfriend, yeah","I'm a, I'm a, I'm a I'm a bad bad girl (haha, y'all) I'm a, I'm a I'm a bad bad girl, girlfriend (but you already knew that) I'm a, I'm a, I'm a I'm a bad bad girl (that I'm bad) I'm a, I'm a I'm a bad bad girl, girlfriend, yeah (I'm bad, bad, bad) I'm a, I'm a, I'm a I'm a bad bad girl (yeah) I'm a, I'm a I'm a bad bad girl, girlfriend (but you already knew that) I'm a, I'm a, I'm a I'm a bad bad girl, girlfriend, yeah (I'm bad, bad, bad) I'm a, I'm a, I'm a bad bad girl, girlfriend"," girl, girlfriend, yeah (I'm bad, bad, bad) I'm a, I'm a, I'm a bad bad girl, girlfriend",1.030263426206844e-231,20.522886276245117
Ariana Grande,​God is a woman,"You, you love it how I move you You love it how I touch you, my one When all is said and done You'll believe God is a woman And I, I feel it after",[Chorus],"midnight A feelin' that you can't fight, my one It lingers when we're done You'll believe God is a woman","You, you love it how I move you You love it how I touch you, my one When all is said and done You'll believe God is a woman And I, I feel it after you like a goddess", you like a goddess,9.845092885359173e-232,747.6149291992188
Ariana Grande,​God is a woman,"I don't wanna waste no time, yeah You ain't got a one-track mind, yeah Have it any way you like, yeah And I can tell that you know I know how I want it Ain't nobody else can relate Boy, I like that you ain't",[Verse],"afraid Baby, lay me down and let's pray I'm tellin' you the way I like it, how I want it","I don't wanna waste no time, yeah You ain't got a one-track mind, yeah Have it any way you like, yeah And I can tell that you know I know how I want it Ain't nobody else can relate Boy, I like that you ain't too stupid to be anything but the drug-o-rama Boy, I like that you ain't too stupid to be anything but the drug-o"," too stupid to be anything but the drug-o-rama Boy, I like that you ain't too stupid to be anything but the drug-o",9.37679901839059e-232,17.942550659179688
Ariana Grande,​God is a woman,"(Yeah) And I can be all the things you told me not to be (Yeah) When you try to come for me, I keep",[Pre-Chorus],on flourishing (Yeah) And he see the universe when I'm the company It's all in me You might also like,"(Yeah) And I can be all the things you told me not to be (Yeah) When you try to come for me, I keep you in my sights, and you keep your mind blank, and you try to follow me all the way. That's why I said (Yeah)"," you in my sights, and you keep your mind blank, and you try to follow me all the way. That's why I said (Yeah)",9.72161026064145e-232,32.46805953979492
Ariana Grande,​God is a woman,"You, you love it how I move you You love it how I touch you, my one When all is said and done You'll believe God is a woman And I, I feel it after",[Chorus],"midnight A feelin' that you can't fight, my one It lingers when we're done You'll believe God is a woman","You, you love it how I move you You love it how I touch you, my one When all is said and done You'll believe God is a woman And I, I feel it after all This is my life
It's the love, your life's beautiful"," all This is my life
It's the love, your life's beautiful",1.0377133938315695e-231,61.642154693603516
Ariana Grande,​God is a woman,"(Yeah) I tell you all the things you should know So baby, take my hands, save your soul We can make it last, take it slow, hmm And I can tell that you know I know how I want it, yeah But you're different from the rest And boy, if you confess, you might get",[Verse],"blessed See if you deserve what comes next I'm tellin' you the way I like it, how I want it","(Yeah) I tell you all the things you should know So baby, take my hands, save your soul We can make it last, take it slow, hmm And I can tell that you know I know how I want it, yeah But you're different from the rest And boy, if you confess, you might get a heart attack
(Yeah) I tell you all the things you should know So baby, take my hands, save your soul We can make it"," a heart attack
(Yeah) I tell you all the things you should know So baby, take my hands, save your soul We can make it",9.296304027068154e-232,54.54444122314453
Ariana Grande,​God is a woman,(Yeah) And I can be all the things you told me not to be (Yeah) When you try to come,[Pre-Chorus],"for me, I keep on flourishing (Yeah) And he see the universe when I'm the company It's all in me","(Yeah) And I can be all the things you told me not to be (Yeah) When you try to come (Yeah) All the things you told me not to be
Forgot to mention (Yeah) My face
(Yeah) I'll be the"," (Yeah) All the things you told me not to be
Forgot to mention (Yeah) My face
(Yeah) I'll be the",1.0350003944289303e-231,21.017242431640625
Ariana Grande,​God is a woman,"You, you love it how I move you You love it how I touch you, my one When all is said and done You'll believe God is a woman And I, I feel it after",[Chorus],"midnight A feelin' that you can't fight, my one It lingers when we're done You'll believe God is a woman","You, you love it how I move you You love it how I touch you, my one When all is said and done You'll believe God is a woman And I, I feel it after your eyes fill with your love Everything you want It's my love, my love that I can't control I never know when we'll meet again
"," your eyes fill with your love Everything you want It's my love, my love that I can't control I never know when we'll meet again
",9.363140134330432e-232,24.615827560424805
