artist,song,tag,content,tag_2
5 Seconds of Summer,Teeth,"[Chorus: Luke, All, Luke & Calum]","Fight so dirty, but you love so sweet
Talk so pretty, but your heart got teeth
Late night devil, put your hands on me
And never, never, never ever let go
Fight so dirty, but you love so sweet
Talk so pretty, but your heart got teeth
Late night devil, put your hands on me
And never, never, never ever let go",[Chorus]
5 Seconds of Summer,Valentine,[Pre-Chorus: Luke & Ashton],"It don't matter be combative or be sweet cherry pie
It don't matter just as long as I get all you tonight
You might also like",[Pre-Chorus]
5 Seconds of Summer,Valentine,[Chorus: All],"I can take you out, oh-oh
We can kill some time, stay home
Throw balloons, teddy bears, and the chocolate eclairs away
Got nothin' but love for you, fall more in love every day
Valentine, valentine",[Chorus]
5 Seconds of Summer,Valentine,[Verse 1: Calum],"I love the light in your eyes and the dark in your heart
You love our permanent chase and the bite of our bark
We know we're classic together like Egyptian gold
We love us",[Verse]
5 Seconds of Summer,Valentine,"[Bridge: Luke, Luke & Ashton]","Full plate, don't wait, have your cake and eat it too
Full plate, don't wait, have your cake and eat it",[Bridge]
5 Seconds of Summer,Valentine,[Chorus: All],"I can take you out, oh-oh
We can kill some time, stay home
Throw balloons, teddy bears, and the chocolate eclairs away
Got nothin' but love for you, fall more in love every day
Valentine, valentine
Valentine, valentine",[Chorus]
5 Seconds of Summer,Valentine,"[Verse 2: Michael, Michael & Ashton]","So deep, your DNA's being messed with my touch
Can't beat us
So real, fueling the fire until we combust
Can't touch us",[Verse]
5 Seconds of Summer,Want You Back,"[Chorus: All, Luke]","And no matter where I go
I'm always gonna want you back (I'm always gonna want you back)
No matter how long you're gone
I'm always gonna want you back
I know you know I will never get over you
No matter where I go
I'm always gonna want you back
Want you back",[Chorus]
5 Seconds of Summer,Want You Back,"[Bridge: Luke, Calum]","You know, even when I say I moved on
You know, even though I know that you're gone
All I think about is where I went wrong
(Ah-ah) You know, even when I say I moved on
(Ah-ah) You know, even though I know that you're gone
(Ah-ah) All I think about is where I went wrong
Yeah, I still dream for ya",[Bridge]
5 Seconds of Summer,Want You Back,[Breakdown: Luke],"No matter where I go
I'm always gonna want you back",[Breakdown]
5 Seconds of Summer,Want You Back,"[Chorus: Luke, All]","And no matter where I go
I'm always gonna want you back
No matter how long you're gone
I'm always gonna want you back
I know you know I will never get over you
No matter where I go
I'm always gonna want you back
Want you back",[Chorus]
5 Seconds of Summer,Want You Back,"[Chorus: Luke, All]","And no matter where I go
I'm always gonna want you back
No matter how long you're gone
I'm always gonna want you back
I know you know I will never get over you
No matter where I go
I'm always gonna want you back
Want you back",[Chorus]
5 Seconds of Summer,Want You Back,"[Verse 2: Luke, Luke & Calum]","I remember the freckles on your back
And the way that I used to make you laugh
'Cause you know every mornin' I wake up
Yeah, I still reach for ya
I remember the roses on your shirt
When you told me this would never work
You know, even when I say I moved on
Yeah, I still dream for you
You might also like",[Verse]
5 Seconds of Summer,Want You Back,"[Outro: All, Calum]","I'm always gonna want you back, want you back
I'm always gonna want you back, want you back
(Ah-ah, ah-ah)
I'm always gonna want you back, want you back
(Ah-ah, ah-ah)
I'm always gonna want you back, want you back
(Ah-ah, ah-ah)",[Outro]
5 Seconds of Summer,Wildflower,[Outro: All],Wildflower,[Outro]
5 Seconds of Summer,Wildflower,[Pre-Chorus: Calum],"You're tellin' me, you're tellin' me, you're tellin' me you wanna come over
You wanna be, you wanna be, you wanna be, you wanna be closer
I love it when you wear your hair down over your shoulder
'Cause I wanna hold ya
'Cause I know where tonight is going",[Pre-Chorus]
5 Seconds of Summer,Wildflower,[Pre-Chorus: Calum],"You're tellin' me, you're tellin' me, you're tellin' me you wanna come over
You wanna be, you wanna be, you wanna be, you wanna be closer
I love it when you wear your hair down over your shoulder
'Cause I wanna hold ya
'Cause I know where tonight is going",[Pre-Chorus]
5 Seconds of Summer,Wildflower,[Verse 2: Calum],"I see the colour in your veins
It makes me smile, it makes me shake (Ooh)
I see the shadow in my brain
And I like its look, and I like its shape (Ooh)",[Verse]
5 Seconds of Summer,Wildflower,"[Chorus: Calum, All]","You're the only one who makes me
Every time we
Tell you what I like
My wildflower
You're the only one who makes me
Every time we
Tell you what I like
My wildflower
You know you are my favourite fantasy
A fatal love song
Waterfall is overflowin'
You're the only one who makes me
Every time we
Tell you what I like
My wildflower
You might also like",[Chorus]
5 Seconds of Summer,Wildflower,[Bridge: All],"(Ooh, ooh)
Wildflower (Ooh, ooh)
Wildflower
Wildflower (Ooh, ooh)
Wildflower",[Bridge]
5 Seconds of Summer,Wildflower,[Intro: All],"Wildflower
Wildflower",[Intro]
5 Seconds of Summer,Youngblood,"[Verse 2: Luke, Luke & Ashton, All]","Lately, our conversations
End like it's the last goodbye
Then one of us gets too drunk
And calls about a hundred times
So who you been callin' ""baby""?
Nobody could take my place
When you're lookin' at those strangers
Hope to God you see my face (Ooh)",[Verse]
5 Seconds of Summer,Youngblood,"[Chorus: Luke, All]","Youngblood
Say you want me, say you want me outta your life
And I'm just a dead man walkin' tonight
But you need it, yeah, you need it all of the time, yeah (Ooh)
Youngblood
Say you want me, say you want me back in your life
So I'm just a dead man crawlin' tonight
'Cause I need it, yeah, I need it all of the time, yeah (Ooh)
You might also like",[Chorus]
5 Seconds of Summer,Youngblood,[Verse 1: Luke],"Remember the words you told me
""Love me till the day I die""?
Surrender my everything
'Cause you made me believe you're mine
Yeah, you used to call me ""baby""
Now, you're callin' me by name (Mm)
Takes one to know one, yeah
You beat me at my own damn game",[Verse]
5 Seconds of Summer,Youngblood,[Bridge: Luke],"You push and you push and I'm pullin' away
Pullin' away from ya
I give and I give and I give and you take
Give and you take
You're runnin' around and I'm runnin' away
Runnin' away from ya, mm, from ya",[Bridge]
5 Seconds of Summer,Youngblood,"[Chorus: Luke, All]","Youngblood
Say you want me, say you want me outta your life
And I'm just a dead man walkin' tonight
But you need it, yeah, you need it all of the time, yeah (Ooh)
Youngblood
Say you want me, say you want me back in your life
So I'm just a dead man crawlin' tonight
'Cause I need it, yeah, I need it all of the time, yeah (Ooh)",[Chorus]
5 Seconds of Summer,Youngblood,[Pre-Chorus: Luke],"You push and you push and I'm pullin' away
Pullin' away from ya
I give and I give and I give and you take
Give and you take",[Pre-Chorus]
5 Seconds of Summer,Youngblood,"[Chorus: Luke, All]","Youngblood
Say you want me, say you want me outta your life
And I'm just a dead man walkin' tonight
But you need it, yeah, you need it all of the time, yeah (Ooh)
Youngblood
Say you want me, say you want me back in your life
So I'm just a dead man crawlin' tonight
'Cause I need it, yeah, I need it all of the time, yeah (Ooh)",[Chorus]
5 Seconds of Summer,Youngblood,[Outro: All],"You push and you push and I'm pullin' away
Pullin' away from ya
I give and I give and I give and you take
Give and you take
Youngblood
Say you want me, say you want me outta your life
And I'm just a dead man walkin' tonight",[Outro]
ABBA,Chiquitita,[Verse 2],"Chiquitita, tell me the truth
I'm a shoulder you can cry on
Your best friend, I'm the one you must rely on
You were always sure of yourself
Now I see you broken and fettered
(How it hurts to see you cry)
(And how it hurts to see you sad)
I hope we can patch it up together",[Verse ]
ABBA,Chiquitita,[Chorus],"Chiquitita, you and I know
How the heartaches come and they go
And the scars they're leaving
(You and I, we know)
(How all the heartaches come and go)
You'll be dancing once again
(You’ll be dancing once again)
And the pain will end
(And all the pain you take will end)
You will have no time for grieving
Chiquitita, you and I cry
But the sun is still in the sky
And shining above you
(Even though you cry)
(The sun is shining in the sky)
Let me hear you sing once more
(So let me hear you sing some more)
Like you did before
(The way you used to do before)
Sing a new song, Chiquitita
Try once more, like you did before
Sing a new song, Chiquitita",[Chorus]
ABBA,Chiquitita,[Verse 1],"Chiquitita, tell me what's wrong
You're enchained by your own sorrow
In your eyes, there is no hope for tomorrow
How I hate to see you like this
There is no way you can deny it
I can see that you're oh, so sad, so quiet",[Verse ]
ABBA,Chiquitita,[Verse 3],"So the walls came tumbling down
And your love's a blown-out candle
All is gone, and it seems too hard to handle
Chiquitita, tell me the truth
There is no way you can deny it
I see that you're oh, so sad, so quiet",[Verse ]
ABBA,Chiquitita,[Chorus],"Chiquitita, you and I know
How the heartaches come and they go
And the scars they're leaving
You'll be dancing once again
And the pain will end
You will have no time for grieving
Chiquitita, you and I cry
But the sun is still in the sky
And shining above you
(Even though you cry)
(The sun is shining in the sky)
Let me hear you sing once more
(So let me hear you sing some more)
Like you did before
(The way you used to do before)
Sing a new song, Chiquitita
Try once more, like you did before
Sing a new song, Chiquitita
You might also like",[Chorus]
ABBA,Dancing Queen,[Verse 1],"Friday night and the lights are low
Looking out for a place to go
Where they play the right music, getting in the swing
You come to look for a king
Anybody could be that guy
Night is young and the music's high
With a bit of rock music, everything is fine
You're in the mood for a dance
And when you get the chance",[Verse ]
ABBA,Dancing Queen,[Chorus],"You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen",[Chorus]
ABBA,Dancing Queen,[Outro],Digging the dancing queen,[Outro]
ABBA,Dancing Queen,[Verse 2],"You're a teaser, you turn 'em on
Leave 'em burning and then you're gone
Looking out for another, anyone will do
You're in the mood for a dance
And when you get the chance",[Verse ]
ABBA,Dancing Queen,[Chorus],"You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen",[Chorus]
ABBA,Dancing Queen,[Chorus],"You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen
You might also like",[Chorus]
ABBA,Fernando,[Verse 2],"They were closer now, Fernando
Every hour, every minute seemed to last eternally
I was so afraid, Fernando
We were young and full of life and none of us prepared to die
And I'm not ashamed to say the roar of guns and cannons almost made me cry",[Verse ]
ABBA,Fernando,[Verse 1],"Can you hear the drums, Fernando?
I remember, long ago, another starry night like this
In the firelight, Fernando
You were humming to yourself and softly strumming your guitar
I could hear the distant drums and sounds of bugle calls were coming from afar",[Verse ]
ABBA,Fernando,[Outro],"If I had to do the same again
I would, my friend, Fernando",[Outro]
ABBA,Fernando,[Verse 3],"Now we're old and grey, Fernando
Since many years I haven't seen a rifle in your hand
Can you hear the drums, Fernando?
Do you still recall the fateful night we crossed the Rio Grande?
I can see it in your eyes, how proud you were to fight for freedom in this land",[Verse ]
ABBA,Fernando,[Chorus],"There was something in the air that night
The stars were bright, Fernando
They were shining there for you and me
For liberty, Fernando
Though we never thought that we could lose
There's no regret
If I had to do the same again
I would, my friend, Fernando
If I had to do the same again
I would, my friend, Fernando
You might also like",[Chorus]
ABBA,Fernando,[Chorus],"There was something in the air that night
The stars were bright, Fernando
They were shining there for you and me
For liberty, Fernando
Though I never thought that we could lose
There's no regret
If I had to do the same again
I would, my friend, Fernando
There was something in the air that night
The stars were bright, Fernando
They were shining there for you and me
For liberty, Fernando
Though I never thought that we could lose
There's no regret
If I had to do the same again
I would, my friend, Fernando
Yes, if I had to do the same again
I would, my friend, Fernando",[Chorus]
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),[Chorus],"Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day",[Chorus]
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),[Pre-Chorus],"There's not a soul out there
No one to hear my prayer",[Pre-Chorus]
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),[Chorus],"Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day
Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day",[Chorus]
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),[Pre-Chorus],"There's not a soul out there
No one to hear my prayer",[Pre-Chorus]
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),[Chorus],"Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day",[Chorus]
ABBA,Lay All Your Love on Me,[Chorus],"Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me",[Chorus]
ABBA,Lay All Your Love on Me,[Chorus],"Don't go wasting your emotion
Lay all your love on me",[Chorus]
ABBA,Lay All Your Love on Me,[Verse 2],"It was like shooting a sitting duck
A little small talk, a smile, and baby, I was stuck
I still don't know what you've done with me
A grown-up woman should never fall so easily",[Verse ]
ABBA,Lay All Your Love on Me,[Verse 3],"I've had a few little love affairs
They didn't last very long and they've been pretty scarce
I used to think that was sensible
It makes the truth even more incomprehensible",[Verse ]
ABBA,Lay All Your Love on Me,[Verse 1],"I wasn't jealous before we met
Now every woman I see is a potential threat
And I'm possessive, it isn't nice
You've heard me saying that smoking was my only vice",[Verse ]
ABBA,Mamma Mia,[Chorus],"Mamma mia, here I go again
My my, how can I resist you?
Mamma mia, does it show again?
My my, just how much I've missed you
Yes, I've been broken-hearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, now I really know
My my, I could never let you go",[Chorus]
ABBA,Mamma Mia,[Pre-Chorus],"Just one look and I can hear a bell ring
One more look and I forget everything, whoa",[Pre-Chorus]
ABBA,Mamma Mia,[Pre-Chorus],"Just one look and I can hear a bell ring
One more look and I forget everything, whoa",[Pre-Chorus]
ABBA,Mamma Mia,[Verse 1],"I've been cheated by you since I don't know when
So I made up my mind: it must come to an end
Look at me now, will I ever learn?
I don't know how, but I suddenly lose control
There's a fire within my soul",[Verse ]
ABBA,Mamma Mia,[Chorus],"Mamma mia, here I go again
My my, how can I resist you?
Mamma mia, does it show again
My my, just how much I've missed you?
Yes, I've been broken-hearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, even if I say
""Bye-bye"", leave me now or never
Mamma mia, it's a game we play
""Bye-bye"" doesn't mean forever
Mamma mia, here I go again
My my, how can I resist you?
Mamma mia, does it show again
My my, just how much I've missed you?
Yes, I've been broken-hearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, now I really know
My my, I could never let you go",[Chorus]
ABBA,Mamma Mia,[Verse 2],"I've been angry and sad about things that you do
I can't count all the times that I've told you we're through
And when you go, when you slam the door
I think you know that you won't be away too long
You know that I'm not that strong
You might also like",[Verse ]
ABBA,Slipping Through My Fingers,[Bridge],"Sometimes I wish that I could freeze the picture
And save it from the funny tricks of time
Slipping through my fingers",[Bridge]
ABBA,Slipping Through My Fingers,[Chorus],"Slipping through my fingers all the time
I try to capture every minute
The feeling in it
Slipping through my fingers all the time
Do I really see what's in her mind?
Each time I think I'm close to knowing
She keeps on growing
Slipping through my fingers all the time",[Chorus]
ABBA,Slipping Through My Fingers,[Pre-Chorus],"What happened to the wonderful adventures
The places I had planned for us to go?
(Slipping through my fingers all the time)
Well, some of that we did, but most we didn't
And why, I just don't know",[Pre-Chorus]
ABBA,Slipping Through My Fingers,[Verse 2],"Sleep in our eyes, her and me at the breakfast table
Barely awake, I let precious time go by
Then when she's gone, there's that odd melancholy feeling
And a sense of guilt I can't deny
You might also like",[Verse ]
ABBA,Slipping Through My Fingers,[Pre-Chorus],"The feeling that I'm losing her forever
And without really entering her world
I'm glad whenever I can share her laughter
That funny little girl",[Pre-Chorus]
ABBA,Slipping Through My Fingers,[Outro],"Slipping through my fingers all the time
Schoolbag in hand, she leaves home in the early morning
Waving goodbye with an absent-minded smile",[Outro]
ABBA,Slipping Through My Fingers,[Chorus],"Slipping through my fingers all the time
I try to capture every minute
The feeling in it
Slipping through my fingers all the time
Do I really see what's in her mind?
Each time I think I'm close to knowing
She keeps on growing
Slipping through my fingers all the time",[Chorus]
ABBA,Slipping Through My Fingers,[Verse 1],"Schoolbag in hand, she leaves home in the early morning
Waving goodbye with an absent-minded smile
I watch her go with a surge of that well-known sadness
And I have to sit down for a while",[Verse ]
ABBA,Super Trouper,"[Chorus: Frida & Agnetha, Benny & Björn]","Tonight, the Super Trouper lights are gonna find me
Shining like the sun (Sup-p-per Troup-p-per)
Smiling, having fun (Sup-p-per Troup-p-per)
Feeling like a number one
Tonight, the Super Trouper beams are gonna blind me
But I won't feel blue (Sup-p-per Troup-p-per)
Like I always do (Sup-p-per Troup-p-per)
'Cause somewhere in the crowd there's you",[Chorus]
ABBA,Super Trouper,"[Chorus: Frida & Agnetha, Benny & Björn]","Tonight, the Super Trouper lights are gonna find me
Shining like the sun (Sup-p-per Troup-p-per)
Smiling, having fun (Sup-p-per Troup-p-per)
Feeling like a number one
Tonight, the Super Trouper beams are gonna blind me
But I won't feel blue (Sup-p-per Troup-p-per)
Like I always do (Sup-p-per Troup-p-per)
'Cause somewhere in the crowd there's you
You might also like",[Chorus]
ABBA,Super Trouper,[Verse 1: Frida],"I was sick and tired of everything
When I called you last night from Glasgow
All I do is eat and sleep and sing
Wishing every show was the last show
(Wishing every show was the last show)",[Verse]
ABBA,Super Trouper,[Verse 2: Frida],"Facing twenty thousand of your friends
How can anyone be so lonely?
Part of a success that never ends
Still, I'm thinking about you only
(Still, I'm thinking about you only)",[Verse]
ABBA,Super Trouper,[Pre-Chorus: Frida],"There are moments when I think I'm going crazy
(Think I'm going crazy)
But it's gonna be all right
(You'll soon be changing everything)
Everything will be so different
When I'm on the stage tonight",[Pre-Chorus]
ABBA,Super Trouper,"[Chorus: Frida & Agnetha, Benny & Björn]","Tonight, the Super Trouper lights are gonna find me
Shining like the sun (Sup-p-per Troup-p-per)
Smiling, having fun (Sup-p-per Troup-p-per)
Feeling like a number one
Tonight, the Super Trouper beams are gonna blind me
But I won't feel blue (Sup-p-per Troup-p-per)
Like I always do (Sup-p-per Troup-p-per)
'Cause somewhere in the crowd there's you",[Chorus]
ABBA,Super Trouper,[Pre-Chorus: Frida],"So imagine I was glad to hear you're coming
(Glad to hear you're coming)
Suddenly I feel all right
(And suddenly it's gonna be)
And it's gonna be so different
When I'm on the stage tonight",[Pre-Chorus]
ABBA,Super Trouper,[Intro: Frida & Agnetha],"Super Trouper beams are gonna blind me
But I won't feel blue
Like I always do
'Cause somewhere in the crowd, there's you",[Intro]
ABBA,The Winner Takes It All,[Chorus 2],"The gods may throw the dice
Their minds as cold as ice
And someone way down here
Loses someone dear
The winner takes it all (Takes it all)
The loser has to fall (Has to fall)
It's simple and it's plain (It seems plain)
Why should I complain? (Why complain)
You might also like",[Chorus ]
ABBA,The Winner Takes It All,[Outro],"(So the winner)
(Takes it all)
(And the loser)
(Has to fall)
(Throw a dice)
(Cold as ice)
(Way down here)
(Someone dear)
(Takes it all)
(Has to fall)
(It seems plain)
(Why complain)",[Outro]
ABBA,The Winner Takes It All,[Bridge],"But you see, the winner takes it all
The winner takes it all",[Bridge]
ABBA,The Winner Takes It All,[Verse 3],"But tell me, does she kiss
Like I used to kiss you?
Does it feel the same when she calls your name?
Somewhere deep inside
You must know I miss you
But what can I say? Rules must be obeyed",[Verse ]
ABBA,The Winner Takes It All,[Verse 4],"I don't wanna talk
If it makes you feel sad
And I understand, you've come to shake my hand
I apologise
If it makes you feel bad
Seeing me so tense, no self-confidence",[Verse ]
ABBA,The Winner Takes It All,[Chorus 3],"The judges will decide (They decide)
The likes of me abide (We abide)
Spectators of the show (Of the show)
Always staying low (Staying low)
The game is on again (On again)
A lover or a friend (Or a friend)
A big thing or a small (Big or small)
The winner takes it all (Takes it all)",[Chorus ]
ABBA,The Winner Takes It All,[Verse 2],"I was in your arms
Thinking I belonged there
I figured it made sense, building me a fence
Building me a home
Thinking I'd be strong there
But I was a fool playing by the rules",[Verse ]
ABBA,The Winner Takes It All,[Chorus 1],"The winner takes it all
The loser's standing small
Beside the victory
That's her destiny",[Chorus ]
AJR,100 Bad Days,[Bridge],"Screw your thing, it goes like this
No, I ain't scared of you
No, I ain't scared of you",[Bridge]
AJR,100 Bad Days,[Pre-Chorus],"(Ah) When all is going wrong and you're scared as hell
(Ah) What you gonna do? Who you gonna tell?",[Pre-Chorus]
